time,location,water_level
2020/01/15/11,南京,1.34
2020/01/15/11,镇江,1.72
2020/01/15/11,湘江长沙,30.74
2020/01/16/11,宜宾,1.06
2020/01/16/11,泸州(二郎滩),1.5
2020/01/16/11,北碚,-0.28
2020/01/16/11,重庆,11.28
2020/01/16/11,寸滩,171.43
2020/01/16/11,涪陵(清溪场),171.38
2020/01/16/11,万州,171.58
2020/01/16/11,茅坪,171.28
2020/01/16/11,宜昌,1.22
2020/01/16/11,枝江,0.42
2020/01/16/11,沙市,-1.09
2020/01/16/11,监利,2.64
2020/01/16/11,城陵矶,3.92
2020/01/16/11,汉口,2.94
2020/01/16/11,黄石,2.63
2020/01/16/11,九江,2.33
2020/01/16/11,安庆,2.39
2020/01/16/11,芜湖,1.91
2020/01/16/11,南京,1.55
2020/01/16/11,镇江,1.21
2020/01/16/11,湘江长沙,31.12
2020/01/17/11,宜宾,1
2020/01/17/11,泸州(二郎滩),1.33
2020/01/17/11,北碚,0.78
2020/01/17/11,重庆,11.14
2020/01/17/11,寸滩,171.29
2020/01/17/11,涪陵(清溪场),171.18
2020/01/17/11,万州,171.37
2020/01/17/11,茅坪,171.11
2020/01/17/11,宜昌,1.06
2020/01/17/11,枝江,0.4
2020/01/17/11,沙市,-1.13
2020/01/17/11,监利,2.69
2020/01/17/11,城陵矶,4.04
2020/01/17/11,汉口,3
2020/01/17/11,黄石,2.68
2020/01/17/11,九江,2.39
2020/01/17/11,安庆,2.46
2020/01/17/11,芜湖,1.91
2020/01/17/11,南京,1.59
2020/01/17/11,镇江,1.1
2020/01/17/11,湘江长沙,31.44
2020/01/18/11,宜宾,1.48
2020/01/18/11,泸州(二郎滩),1.2
2020/01/18/11,北碚,-0.27
2020/01/18/11,重庆,10.9
2020/01/18/11,寸滩,171.06
2020/01/18/11,涪陵(清溪场),170.98
2020/01/18/11,万州,171.16
2020/01/18/11,茅坪,170.84
2020/01/18/11,宜昌,1.11
2020/01/18/11,枝江,0.43
2020/01/18/11,沙市,-1.07
2020/01/18/11,监利,2.73
2020/01/18/11,城陵矶,4.19
2020/01/18/11,汉口,3.04
2020/01/18/11,黄石,2.76
2020/01/18/11,九江,2.44
2020/01/18/11,安庆,2.42
2020/01/18/11,芜湖,1.8
2020/01/18/11,南京,1.5
2020/01/18/11,镇江,1.02
2020/01/18/11,湘江长沙,31.24
2020/01/19/11,宜宾,0.54
2020/01/19/11,泸州(二郎滩),1.2
2020/01/19/11,北碚,-0.23
2020/01/19/11,重庆,10.6
2020/01/19/11,寸滩,170.75
2020/01/19/11,涪陵(清溪场),170.69
2020/01/19/11,万州,170.86
2020/01/19/11,茅坪,170.63
2020/01/19/11,宜昌,1.08
2020/01/19/11,枝江,0.43
2020/01/19/11,沙市,-1.04
2020/01/19/11,监利,2.83
2020/01/19/11,城陵矶,4.3
2020/01/19/11,汉口,3.18
2020/01/19/11,黄石,2.84
2020/01/19/11,九江,2.48
2020/01/19/11,安庆,2.39
2020/01/19/11,芜湖,1.73
2020/01/19/11,南京,1.51
2020/01/19/11,镇江,1.05
2020/01/19/11,湘江长沙,31.04
2020/01/20/11,宜宾,0.65
2020/01/20/11,泸州(二郎滩),0.9
2020/01/20/11,北碚,-0.29
2020/01/20/11,重庆,10.42
2020/01/20/11,寸滩,170.54
2020/01/20/11,涪陵(清溪场),170.44
2020/01/20/11,万州,170.64
2020/01/20/11,茅坪,170.43
2020/01/20/11,宜昌,0.92
2020/01/20/11,枝江,0.37
2020/01/20/11,沙市,-1.07
2020/01/20/11,监利,2.87
2020/01/20/11,城陵矶,4.31
2020/01/20/11,汉口,3.25
2020/01/20/11,黄石,2.88
2020/01/20/11,九江,2.58
2020/01/20/11,安庆,2.4
2020/01/20/11,芜湖,1.67
2020/01/20/11,南京,1.5
2020/01/20/11,镇江,1.1
2020/01/20/11,湘江长沙,30.92
2020/01/21/11,宜宾,0.98
2020/01/21/11,泸州(二郎滩),0.6
2020/01/21/11,北碚,-0.21
2020/01/21/11,重庆,10.2
2020/01/21/11,寸滩,170.34
2020/01/21/11,涪陵(清溪场),170.26
2020/01/21/11,万州,170.3
2020/01/21/11,茅坪,170.23
2020/01/21/11,宜昌,0.57
2020/01/21/11,枝江,-0.18
2020/01/21/11,沙市,-1.57
2020/01/21/11,监利,2.8
2020/01/21/11,城陵矶,4.25
2020/01/21/11,汉口,3.29
2020/01/21/11,黄石,2.94
2020/01/21/11,九江,2.55
2020/01/21/11,安庆,2.43
2020/01/21/11,芜湖,1.72
2020/01/21/11,南京,1.65
2020/01/21/11,镇江,1.3
2020/01/21/11,湘江长沙,30.85
2020/01/22/11,宜宾,1.05
2020/01/22/11,泸州(二郎滩),1
2020/01/22/11,北碚,-0.3
2020/01/22/11,重庆,10.03
2020/01/22/11,寸滩,170.18
2020/01/22/11,涪陵(清溪场),170.13
2020/01/22/11,万州,170.32
2020/01/22/11,茅坪,170.11
2020/01/22/11,宜昌,0.51
2020/01/22/11,枝江,-0.38
2020/01/22/11,沙市,-1.91
2020/01/22/11,监利,2.6
2020/01/22/11,城陵矶,4.11
2020/01/22/11,汉口,3.27
2020/01/22/11,黄石,2.98
2020/01/22/11,九江,2.61
2020/01/22/11,安庆,2.53
2020/01/22/11,芜湖,1.69
2020/01/22/11,南京,1.83
2020/01/22/11,镇江,1.5
2020/01/22/11,湘江长沙,30.83
2020/01/23/11,宜宾,0.98
2020/01/23/11,泸州(二郎滩),1.1
2020/01/23/11,北碚,-0.02
2020/01/23/11,重庆,9.89
2020/01/23/11,寸滩,170.06
2020/01/23/11,涪陵(清溪场),169.97
2020/01/23/11,万州,170.16
2020/01/23/11,茅坪,169.95
2020/01/23/11,宜昌,0.35
2020/01/23/11,枝江,-0.46
2020/01/23/11,沙市,-2.13
2020/01/23/11,监利,2.45
2020/01/23/11,城陵矶,3.95
2020/01/23/11,汉口,3.16
2020/01/23/11,黄石,2.93
2020/01/23/11,九江,2.64
2020/01/23/11,安庆,2.58
2020/01/23/11,芜湖,1.64
2020/01/23/11,南京,2.14
2020/01/23/11,镇江,1.84
2020/01/23/11,湘江长沙,31.15
2020/01/24/11,宜宾,0.6
2020/01/24/11,泸州(二郎滩),0.6
2020/01/24/11,北碚,-0.62
2020/01/24/11,重庆,9.75
2020/01/24/11,寸滩,169.92
2020/01/24/11,涪陵(清溪场),169.85
2020/01/24/11,万州,170.04
2020/01/24/11,茅坪,169.78
2020/01/24/11,宜昌,0.17
2020/01/24/11,枝江,-0.61
2020/01/24/11,沙市,-2.3
2020/01/24/11,监利,2.36
2020/01/24/11,城陵矶,3.99
2020/01/24/11,汉口,3.04
2020/01/24/11,黄石,2.91
2020/01/24/11,九江,2.68
2020/01/24/11,安庆,2.72
2020/01/24/11,芜湖,1.77
2020/01/24/11,南京,2.27
2020/01/24/11,镇江,2.24
2020/01/24/11,湘江长沙,31.4
2020/01/25/11,宜宾,1.23
2020/01/25/11,泸州(二郎滩),0.7
2020/01/25/11,北碚,-0.08
2020/01/25/11,重庆,9.5
2020/01/25/11,寸滩,169.67
2020/01/25/11,涪陵(清溪场),169.67
2020/01/25/11,万州,169.89
2020/01/25/11,茅坪,169.63
2020/01/25/11,宜昌,0.34
2020/01/25/11,枝江,-0.27
2020/01/25/11,沙市,-2.18
2020/01/25/11,监利,2.4
2020/01/25/11,城陵矶,4.4
2020/01/25/11,汉口,3.07
2020/01/25/11,黄石,2.88
2020/01/25/11,九江,2.71
2020/01/25/11,安庆,2.81
2020/01/25/11,芜湖,1.92
2020/01/25/11,南京,2.31
2020/01/25/11,镇江,2.53
2020/01/25/11,湘江长沙,31.81
2020/01/26/11,宜宾,1.64
2020/01/26/11,泸州(二郎滩),1.6
2020/01/26/11,北碚,0.76
2020/01/26/11,重庆,9.42
2020/01/26/11,寸滩,169.59
2020/01/26/11,涪陵(清溪场),169.54
2020/01/26/11,万州,169.74
2020/01/26/11,茅坪,169.49
2020/01/26/11,宜昌,0.24
2020/01/26/11,枝江,-0.48
2020/01/26/11,沙市,-2.22
2020/01/26/11,监利,2.72
2020/01/26/11,城陵矶,5.18
2020/01/26/11,汉口,3.36
2020/01/26/11,黄石,3
2020/01/26/11,九江,2.81
2020/01/26/11,安庆,2.89
2020/01/26/11,芜湖,2.02
2020/01/26/11,南京,2.21
2020/01/26/11,镇江,2.66
2020/01/26/11,湘江长沙,31.15
2020/01/27/11,宜宾,1.44
2020/01/27/11,泸州(二郎滩),1.2
2020/01/27/11,北碚,0.95
2020/01/27/11,重庆,9.48
2020/01/27/11,寸滩,169.6
2020/01/27/11,涪陵(清溪场),169.42
2020/01/27/11,万州,169.63
2020/01/27/11,茅坪,169.35
2020/01/27/11,宜昌,0.21
2020/01/27/11,枝江,-0.24
2020/01/27/11,沙市,-2.13
2020/01/27/11,监利,2.95
2020/01/27/11,城陵矶,5.63
2020/01/27/11,汉口,3.87
2020/01/27/11,黄石,3.28
2020/01/27/11,九江,3.02
2020/01/27/11,安庆,3.08
2020/01/27/11,芜湖,2.22
2020/01/27/11,南京,2.12
2020/01/27/11,镇江,2.79
2020/01/27/11,湘江长沙,31.24
2020/01/28/11,宜宾,1.38
2020/01/28/11,泸州(二郎滩),1.4
2020/01/28/11,北碚,-0.35
2020/01/28/11,重庆,9.28
2020/01/28/11,寸滩,169.43
2020/01/28/11,涪陵(清溪场),169.32
2020/01/28/11,万州,169.54
2020/01/28/11,茅坪,169.22
2020/01/28/11,宜昌,0.29
2020/01/28/11,枝江,-0.39
2020/01/28/11,沙市,-2.12
2020/01/28/11,监利,3.1
2020/01/28/11,城陵矶,5.86
2020/01/28/11,汉口,4.32
2020/01/28/11,黄石,3.7
2020/01/28/11,九江,3.33
2020/01/28/11,安庆,3.3
2020/01/28/11,芜湖,2.32
2020/01/28/11,南京,1.79
2020/01/28/11,镇江,2.59
2020/01/28/11,湘江长沙,30.73
2020/01/29/11,宜宾,0.56
2020/01/29/11,泸州(二郎滩),1.3
2020/01/29/11,北碚,-0.34
2020/01/29/11,重庆,9.19
2020/01/29/11,寸滩,169.32
2020/01/29/11,涪陵(清溪场),169.19
2020/01/29/11,万州,169.4
2020/01/29/11,茅坪,169.13
2020/01/29/11,宜昌,0.28
2020/01/29/11,枝江,-0.35
2020/01/29/11,沙市,-2.1
2020/01/29/11,监利,3.12
2020/01/29/11,城陵矶,5.73
2020/01/29/11,汉口,4.59
2020/01/29/11,黄石,4.05
2020/01/29/11,九江,3.65
2020/01/29/11,安庆,3.51
2020/01/29/11,芜湖,2.41
2020/01/29/11,南京,1.85
2020/01/29/11,镇江,2.17
2020/01/29/11,湘江长沙,30.99
2020/01/29/11,宜宾合江门,0.56
2020/01/29/11,南溪九龙滩,0.6
2020/01/29/11,江安白沙湾,0.93
2020/01/29/11,二郎滩,1.3
2020/01/29/11,观音堂,1
2020/01/29/11,观音背,0.8
2020/01/29/11,手爬岩,1.6
2020/01/29/11,小桃竹,1.3
2020/01/29/11,王爷庙,1.9
2020/01/29/11,老鹰岩,1.4
2020/01/29/11,斗笠子,0.91
2020/01/29/11,羊角滩,1.7
2020/01/29/11,石门,1.34
2020/01/29/11,狗扒岩,1.66
2020/01/29/11,郑家梁,-0.7
2020/01/29/11,黄磏,1
2020/01/29/11,观音梁,1.8
2020/01/29/11,水银口,1.6
2020/01/29/11,龙凤溪,5.8
2020/01/29/11,铜锣峡,11.4
2020/01/29/11,鱼嘴,14.3
2020/01/29/11,太洪江,169.3
2020/01/29/11,骑马桥,169.2
2020/01/29/11,羊角堡,169.35
2020/01/29/11,韩公韩婆,169.2
2020/01/29/11,李渡,169.2
2020/01/29/11,涪陵,169.35
2020/01/29/11,永家岩,169.5
2020/01/29/11,媳妇面,169.4
2020/01/29/11,石鼻子,169.38
2020/01/30/11,宜宾,0.53
2020/01/30/11,泸州(二郎滩),1.3
2020/01/30/11,北碚,-0.3
2020/01/30/11,重庆,9.15
2020/01/30/11,寸滩,169.27
2020/01/30/11,涪陵(清溪场),169.08
2020/01/30/11,万州,169.31
2020/01/30/11,茅坪,169.05
2020/01/30/11,宜昌,0.19
2020/01/30/11,枝江,-0.36
2020/01/30/11,沙市,-2.11
2020/01/30/11,监利,3.03
2020/01/30/11,城陵矶,5.49
2020/01/30/11,汉口,4.57
2020/01/30/11,黄石,4.2
2020/01/30/11,九江,3.84
2020/01/30/11,安庆,3.67
2020/01/30/11,芜湖,2.45
2020/01/30/11,南京,1.85
2020/01/30/11,镇江,1.68
2020/01/30/11,湘江长沙,30.61
2020/01/31/11,宜宾,1.33
2020/01/31/11,泸州(二郎滩),0.73
2020/01/31/11,北碚,0.32
2020/01/31/11,重庆,9
2020/01/31/11,寸滩,169.14
2020/01/31/11,涪陵(清溪场),168.99
2020/01/31/11,万州,169.19
2020/01/31/11,茅坪,168.9
2020/01/31/11,宜昌,0.5
2020/01/31/11,枝江,-0.39
2020/01/31/11,沙市,-2.13
2020/01/31/11,监利,2.94
2020/01/31/11,城陵矶,5.21
2020/01/31/11,汉口,4.46
2020/01/31/11,黄石,4.21
2020/01/31/11,九江,3.9
2020/01/31/11,安庆,3.73
2020/01/31/11,芜湖,2.48
2020/01/31/11,南京,1.89
2020/01/31/11,镇江,1.46
2020/01/31/11,湘江长沙,30.62
2020/02/01/11,宜宾,1.02
2020/02/01/11,泸州(二郎滩),1.16
2020/02/01/11,北碚,-0.26
2020/02/01/11,重庆,8.79
2020/02/01/11,寸滩,168.93
2020/02/01/11,涪陵(清溪场),168.83
2020/02/01/11,万州,169.06
2020/02/01/11,茅坪,168.82
2020/02/01/11,宜昌,0.25
2020/02/01/11,枝江,-0.49
2020/02/01/11,沙市,-2.12
2020/02/01/11,监利,2.85
2020/02/01/11,城陵矶,4.93
2020/02/01/11,汉口,4.28
2020/02/01/11,黄石,4.13
2020/02/01/11,九江,3.86
2020/02/01/11,安庆,3.75
2020/02/01/11,芜湖,2.58
2020/02/01/11,南京,2.03
2020/02/01/11,镇江,1.5
2020/02/01/11,湘江长沙,30.63
2020/02/02/11,宜宾,0.53
2020/02/02/11,泸州(二郎滩),0.9
2020/02/02/11,北碚,0.01
2020/02/02/11,重庆,8.77
2020/02/02/11,寸滩,168.89
2020/02/02/11,涪陵(清溪场),168.71
2020/02/02/11,万州,168.96
2020/02/02/11,茅坪,168.73
2020/02/02/11,宜昌,0.25
2020/02/02/11,枝江,-0.37
2020/02/02/11,沙市,-2.13
2020/02/02/11,监利,2.74
2020/02/02/11,城陵矶,4.66
2020/02/02/11,汉口,4.07
2020/02/02/11,黄石,3.97
